fight_id,event_id,division,title_fight,method,finish_round,match_time_sec,total_rounds,referee,r_id,b_id,winner_id,winner
d14fea43712707f0,6e380a4d73ab4f0e,lightweight,0,Submission,2,176,3,Herb Dean,c2299ec916bc7c56,9c393e836a852f30,c2299ec916bc7c56,Benoit Saint Denis
5bcd8abf6da01dae,6e380a4d73ab4f0e,middleweight,0,Decision - Unanimous,5,300,5,Marc Goddard,881bf86d4cba8578,4126a78111c0855a,881bf86d4cba8578,Nassourdine Imavov
0149e875b31e57f8,6e380a4d73ab4f0e,light heavyweight,0,KO/TKO,1,300,3,Marc Goddard,476fe566d2df676e,eabf206b162b3b83,476fe566d2df676e,Modestas Bukauskas
69b31593175f77ec,6e380a4d73ab4f0e,lightweight,0,KO/TKO,2,198,3,Rich Mitchell,4bdedbdeedff7d1d,f6ad6a1e4d600e0d,f6ad6a1e4d600e0d,Mason Jones
a47123ae6e048f11,6e380a4d73ab4f0e,welterweight,0,KO/TKO,3,122,3,Herb Dean,1d2d98ddd05b38fb,f748267c4ab6c127,1d2d98ddd05b38fb,Axel Sola
4080b4310d82b42d,6e380a4d73ab4f0e,light heavyweight,0,KO/TKO,1,282,3,Patricio Carlos,46e2011d92463b7e,49edd0d90f60fb7d,46e2011d92463b7e,Oumar Sy
b53031bf4bd0a330,6e380a4d73ab4f0e,featherweight,0,Decision - Unanimous,3,300,3,Lukasz Bosacki,e1d40e8782d80bc2,92aed9d16794f42b,e1d40e8782d80bc2,William Gomis
23dbe713c4294c66,6e380a4d73ab4f0e,heavyweight,0,KO/TKO,1,123,3,Marc Goddard,c9cf753cfdf77fc2,7d8435c56043b0ae,7d8435c56043b0ae,Ante Delija
5cd2dd6075fadcce,6e380a4d73ab4f0e,lightweight,0,KO/TKO,1,201,3,Herb Dean,2dbc60c52de126d8,ec13c393d029297d,ec13c393d029297d,Kaue Fernandes
d56a59a4c79cf515,6e380a4d73ab4f0e,welterweight,0,KO/TKO,1,54,3,Patricio Carlos,2caf993f53541fa1,8f765fd5775a8873,8f765fd5775a8873,Rinat Fakhretdinov
420211200a35c1d1,6e380a4d73ab4f0e,welterweight,0,KO/TKO,1,181,3,Rich Mitchell,8b6e5dc2ba1edbe7,31dbfbe4e7a6727c,8b6e5dc2ba1edbe7,Sam Patterson
b3253e2c2d111030,6e380a4d73ab4f0e,middleweight,0,KO/TKO,3,103,3,Lukasz Bosacki,0c6d9ea8306c029e,f96856f9d69fd7e4,f96856f9d69fd7e4,Robert Bryczek
