fight_key,event_date,location,weight_class,method,finish_round,finish_time,scraped_at,source_url,fighter,opponent,kd,sig_landed,sig_attempted,sig_pct,tot_landed,tot_attempted,td_landed,td_attempted,td_pct,sub_attempts,passes,reversals,head_landed,head_attempted,body_landed,body_attempted,leg_landed,leg_attempted,dist_landed,dist_attempted,clinch_landed,clinch_attempted,ground_landed,ground_attempted,opp_kd,opp_sig_landed,opp_sig_attempted,opp_td_landed,opp_td_attempted,opp_sub_attempts,opp_passes,opp_reversals
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-strickland-vs-hernandez|sean-strickland-v-anthony-hernandez,"February 21, 2026","Houston, Texas, USA",Middleweight,KO/TKO,3,2:23,2026-03-01 02:37:23,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-strickland-vs-hernandez/sean-strickland-v-anthony-hernandez/,Sean Strickland,Anthony Hernandez,1,110,241,45.64,111,242,0,0,0.0,0,0,0,93,219,9,14,8,8,101,230,2,3,7,8,0,55,122,0,1,0,0,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-strickland-vs-hernandez|sean-strickland-v-anthony-hernandez,"February 21, 2026","Houston, Texas, USA",Middleweight,KO/TKO,3,2:23,2026-03-01 02:37:23,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-strickland-vs-hernandez/sean-strickland-v-anthony-hernandez/,Anthony Hernandez,Sean Strickland,0,55,122,45.08,57,124,0,1,0.0,0,0,0,29,93,13,16,13,13,55,120,0,2,0,0,1,110,241,0,0,0,0,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-strickland-vs-hernandez|geoff-neal-v-uros-medic,"February 21, 2026","Houston, Texas, USA",Welterweight,KO/TKO,1,1:19,2026-03-01 02:37:25,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-strickland-vs-hernandez/geoff-neal-v-uros-medic/,Geoff Neal,Uros Medic,0,3,10,30.0,3,10,0,0,0.0,0,,0,1,6,1,3,1,1,3,10,0,0,0,0,1,10,19,0,0,0,,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-strickland-vs-hernandez|geoff-neal-v-uros-medic,"February 21, 2026","Houston, Texas, USA",Welterweight,KO/TKO,1,1:19,2026-03-01 02:37:25,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-strickland-vs-hernandez/geoff-neal-v-uros-medic/,Uros Medic,Geoff Neal,1,10,19,52.63,10,19,0,0,0.0,0,,0,4,10,6,9,0,0,10,19,0,0,0,0,0,3,10,0,0,0,,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-strickland-vs-hernandez|dan-ige-v-melquizael-costa,"February 21, 2026","Houston, Texas, USA",Featherweight,KO/TKO,1,4:56,2026-03-01 02:37:28,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-strickland-vs-hernandez/dan-ige-v-melquizael-costa/,Dan Ige,Melquizael Costa,0,7,11,63.64,12,16,1,3,33.33,0,,0,2,5,2,3,3,3,7,11,0,0,0,0,1,19,40,1,1,0,,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-strickland-vs-hernandez|dan-ige-v-melquizael-costa,"February 21, 2026","Houston, Texas, USA",Featherweight,KO/TKO,1,4:56,2026-03-01 02:37:28,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-strickland-vs-hernandez/dan-ige-v-melquizael-costa/,Melquizael Costa,Dan Ige,1,19,40,47.5,26,48,1,1,100.0,0,,0,9,26,7,9,3,5,13,29,4,5,2,6,0,7,11,1,3,0,,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-strickland-vs-hernandez|serghei-spivac-v-ante-delija,"February 21, 2026","Houston, Texas, USA",Heavyweight,Decision - Unanimous,3,5:00,2026-03-01 02:37:29,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-strickland-vs-hernandez/serghei-spivac-v-ante-delija/,Serghei Spivac,Ante Delija,0,67,149,44.97,102,185,1,4,25.0,0,0,0,65,145,1,3,1,1,67,148,0,1,0,0,0,61,172,0,0,0,0,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-strickland-vs-hernandez|serghei-spivac-v-ante-delija,"February 21, 2026","Houston, Texas, USA",Heavyweight,Decision - Unanimous,3,5:00,2026-03-01 02:37:29,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-strickland-vs-hernandez/serghei-spivac-v-ante-delija/,Ante Delija,Serghei Spivac,0,61,172,35.47,61,173,0,0,0.0,0,0,0,56,166,5,6,0,0,58,168,3,4,0,0,0,67,149,1,4,0,0,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-strickland-vs-hernandez|jacobe-smith-v-josiah-harrell,"February 21, 2026","Houston, Texas, USA",Welterweight,KO/TKO,1,3:01,2026-03-01 02:37:31,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-strickland-vs-hernandez/jacobe-smith-v-josiah-harrell/,Jacobe Smith,Josiah Harrell,0,33,47,70.21,37,51,2,2,100.0,0,,0,18,29,9,10,6,8,23,37,0,0,10,10,0,7,14,0,2,0,,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-strickland-vs-hernandez|jacobe-smith-v-josiah-harrell,"February 21, 2026","Houston, Texas, USA",Welterweight,KO/TKO,1,3:01,2026-03-01 02:37:31,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-strickland-vs-hernandez/jacobe-smith-v-josiah-harrell/,Josiah Harrell,Jacobe Smith,0,7,14,50.0,7,14,0,2,0.0,0,,0,1,6,3,5,3,3,7,14,0,0,0,0,0,33,47,2,2,0,,0
