fight_key,fighter,opponent,event_date,weight_class,method,finish_round,finish_time,scraped_at,is_decision,is_ko_tko,is_submission,kd_avg_3,kd_sum_3,sig_landed_avg_3,sig_landed_sum_3,sig_attempted_avg_3,sig_attempted_sum_3,sig_pct_avg_3,sig_pct_sum_3,tot_landed_avg_3,tot_landed_sum_3,tot_attempted_avg_3,tot_attempted_sum_3,td_landed_avg_3,td_landed_sum_3,td_attempted_avg_3,td_attempted_sum_3,td_pct_avg_3,td_pct_sum_3,sub_attempts_avg_3,sub_attempts_sum_3,passes_avg_3,passes_sum_3,reversals_avg_3,reversals_sum_3,head_landed_avg_3,head_landed_sum_3,head_attempted_avg_3,head_attempted_sum_3,body_landed_avg_3,body_landed_sum_3,body_attempted_avg_3,body_attempted_sum_3,leg_landed_avg_3,leg_landed_sum_3,leg_attempted_avg_3,leg_attempted_sum_3,dist_landed_avg_3,dist_landed_sum_3,dist_attempted_avg_3,dist_attempted_sum_3,clinch_landed_avg_3,clinch_landed_sum_3,clinch_attempted_avg_3,clinch_attempted_sum_3,ground_landed_avg_3,ground_landed_sum_3,ground_attempted_avg_3,ground_attempted_sum_3,opp_kd_avg_3,opp_kd_sum_3,opp_sig_landed_avg_3,opp_sig_landed_sum_3,opp_sig_attempted_avg_3,opp_sig_attempted_sum_3,opp_td_landed_avg_3,opp_td_landed_sum_3,opp_td_attempted_avg_3,opp_td_attempted_sum_3,opp_sub_attempts_avg_3,opp_sub_attempts_sum_3,opp_passes_avg_3,opp_passes_sum_3,opp_reversals_avg_3,opp_reversals_sum_3
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-strickland-vs-hernandez|sean-strickland-v-anthony-hernandez,Sean Strickland,Anthony Hernandez,"February 21, 2026",Middleweight,KO/TKO,3,2:23,2026-03-01 02:37:23,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-strickland-vs-hernandez|sean-strickland-v-anthony-hernandez,Anthony Hernandez,Sean Strickland,"February 21, 2026",Middleweight,KO/TKO,3,2:23,2026-03-01 02:37:23,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-strickland-vs-hernandez|geoff-neal-v-uros-medic,Geoff Neal,Uros Medic,"February 21, 2026",Welterweight,KO/TKO,1,1:19,2026-03-01 02:37:25,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-strickland-vs-hernandez|geoff-neal-v-uros-medic,Uros Medic,Geoff Neal,"February 21, 2026",Welterweight,KO/TKO,1,1:19,2026-03-01 02:37:25,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-strickland-vs-hernandez|dan-ige-v-melquizael-costa,Dan Ige,Melquizael Costa,"February 21, 2026",Featherweight,KO/TKO,1,4:56,2026-03-01 02:37:28,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-strickland-vs-hernandez|dan-ige-v-melquizael-costa,Melquizael Costa,Dan Ige,"February 21, 2026",Featherweight,KO/TKO,1,4:56,2026-03-01 02:37:28,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-strickland-vs-hernandez|serghei-spivac-v-ante-delija,Serghei Spivac,Ante Delija,"February 21, 2026",Heavyweight,Decision - Unanimous,3,5:00,2026-03-01 02:37:29,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-strickland-vs-hernandez|serghei-spivac-v-ante-delija,Ante Delija,Serghei Spivac,"February 21, 2026",Heavyweight,Decision - Unanimous,3,5:00,2026-03-01 02:37:29,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-strickland-vs-hernandez|jacobe-smith-v-josiah-harrell,Jacobe Smith,Josiah Harrell,"February 21, 2026",Welterweight,KO/TKO,1,3:01,2026-03-01 02:37:31,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-strickland-vs-hernandez|jacobe-smith-v-josiah-harrell,Josiah Harrell,Jacobe Smith,"February 21, 2026",Welterweight,KO/TKO,1,3:01,2026-03-01 02:37:31,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
