fight_id,event_id,fighter_name,fighter_id,kd,sig_str_landed,sig_str_atmpted,sig_str_acc,total_str_landed,total_str_atmpted,total_str_acc,td_landed,td_atmpted,td_acc,sub_att,ctrl,head_landed,head_atmpted,head_acc,body_landed,body_atmpted,body_acc,leg_landed,leg_atmpted,leg_acc,dist_landed,dist_atmpted,dist_acc,clinch_landed,clinch_atmpted,clinch_acc,ground_landed,ground_atmpted,ground_acc,landed_head_per,landed_body_per,landed_leg_per,landed_dist_per,landed_clinch_per,landed_ground_per,corner
d14fea43712707f0,6e380a4d73ab4f0e,Benoit Saint Denis,c2299ec916bc7c56,0,17,38,44,37,61,61,3,10,30,1,278,9,26,35,8,12,67,0,0,,9,26,35,3,3,100,5,9,56,52,47,0,52,17,29,R
5bcd8abf6da01dae,6e380a4d73ab4f0e,Nassourdine Imavov,881bf86d4cba8578,0,81,162,50,89,170,52,0,0,,0,29,53,118,45,14,26,54,14,18,78,79,160,49,2,2,100,0,0,,65,17,17,97,2,0,R
0149e875b31e57f8,6e380a4d73ab4f0e,Modestas Bukauskas,476fe566d2df676e,0,22,36,61,29,44,66,0,0,,0,110,18,30,60,0,0,,4,6,67,10,17,59,0,0,,12,19,63,81,0,18,45,0,54,R
69b31593175f77ec,6e380a4d73ab4f0e,Bolaji Oki,4bdedbdeedff7d1d,1,38,99,38,40,101,40,0,1,0,0,21,26,76,34,8,19,42,4,4,100,34,85,40,0,0,,4,14,28,68,21,10,89,0,10,R
a47123ae6e048f11,6e380a4d73ab4f0e,Axel Sola,1d2d98ddd05b38fb,1,45,105,42,52,114,46,1,4,25,0,185,40,94,43,5,11,45,0,0,,36,94,38,5,7,71,4,4,100,88,11,0,80,11,8,R
4080b4310d82b42d,6e380a4d73ab4f0e,Oumar Sy,46e2011d92463b7e,0,17,43,39,21,49,43,2,4,50,0,208,14,38,37,0,1,0,3,4,75,4,11,36,0,0,,13,32,41,82,0,17,23,0,76,R
b53031bf4bd0a330,6e380a4d73ab4f0e,William Gomis,e1d40e8782d80bc2,0,49,114,42,66,132,50,2,2,100,0,57,19,69,28,17,29,59,13,16,81,37,102,36,12,12,100,0,0,,38,34,26,75,24,0,R
23dbe713c4294c66,6e380a4d73ab4f0e,Marcin Tybura,c9cf753cfdf77fc2,0,4,9,44,8,15,53,0,0,,0,78,1,5,20,3,4,75,0,0,,2,7,28,2,2,100,0,0,,25,75,0,50,50,0,R
5cd2dd6075fadcce,6e380a4d73ab4f0e,Harry Hardwick,2dbc60c52de126d8,0,8,23,34,8,23,35,0,0,,0,0,6,18,33,0,3,0,2,2,100,8,23,35,0,0,,0,0,,75,0,25,100,0,0,R
d56a59a4c79cf515,6e380a4d73ab4f0e,Andreas Gustafsson,2caf993f53541fa1,0,5,19,26,5,19,26,0,0,,0,0,4,18,22,1,1,100,0,0,,4,18,22,1,1,100,0,0,,80,20,0,80,20,0,R
420211200a35c1d1,6e380a4d73ab4f0e,Sam Patterson,8b6e5dc2ba1edbe7,0,25,48,52,25,48,52,0,0,,0,0,21,43,49,0,1,0,4,4,100,25,48,52,0,0,,0,0,,84,0,16,100,0,0,R
b3253e2c2d111030,6e380a4d73ab4f0e,Brad Tavares,0c6d9ea8306c029e,0,42,102,41,50,111,45,1,3,33,0,82,17,69,25,8,13,62,17,20,85,41,100,41,1,2,50,0,0,,40,19,40,97,2,0,R
2eecf0c36192e40c,754968e325d6f60d,Johnny Walker,c21f26bbde777573,1,50,67,74,51,70,73,0,2,0,0,80,36,49,73,1,5,20,13,13,100,15,26,57,2,4,50,33,37,89,72,2,26,30,4,66,R
a38010639e61885c,6e380a4d73ab4f0e,Shauna Bannon,9c442aaf149ea982,0,13,38,34,42,68,62,0,1,0,0,0,5,20,25,4,9,44,4,9,44,12,33,36,1,3,33,0,2,0,38,30,30,92,7,0,R
58080e8989927500,754968e325d6f60d,Brian Ortega,def8166ff24bd237,0,55,174,31,100,225,44,0,2,0,0,8,30,138,22,20,29,69,5,7,71,54,173,31,0,0,,1,1,100,54,36,9,98,0,1,R
5538d15c4eeac3b3,754968e325d6f60d,Sergei Pavlovich,f14cf73e51b29254,0,61,133,45,63,136,46,0,3,0,0,8,35,104,34,12,14,86,14,15,93,60,131,46,1,2,50,0,0,,57,19,22,98,1,0,R
ce6bd165bef82bd7,754968e325d6f60d,Sumudaerji,3cf18e01cb6cbde3,0,73,129,56,91,150,61,0,5,0,0,17,33,75,44,17,25,68,23,29,79,67,121,55,6,8,75,0,0,,45,23,31,91,8,0,R
1452c20d964c0a63,754968e325d6f60d,Taiyilake Nueraji,7498b3ac79a3b948,0,27,38,71,31,42,74,1,3,33,0,191,25,35,71,2,3,67,0,0,,2,3,67,0,0,,25,35,71,92,7,0,7,0,92,R
0b1460c666e66d39,754968e325d6f60d,Maheshate,8c1ca54b5089d199,0,66,150,44,79,166,48,0,7,0,0,12,42,118,36,12,18,67,12,14,86,60,143,42,6,7,86,0,0,,63,18,18,90,9,0,R
f55749e32ce5c6f3,754968e325d6f60d,Rongzhu,a13d755965a4ec9f,0,101,197,51,104,201,52,0,0,,0,0,65,154,42,21,28,75,15,15,100,98,189,52,3,8,38,0,0,,64,20,14,97,2,0,R
1ab1ed99a4bc5494,754968e325d6f60d,Charles Johnson,814e5233e2acf2ee,1,44,81,54,52,89,57,1,5,20,0,32,18,49,37,6,10,60,20,22,91,37,71,52,4,6,67,3,4,75,40,13,45,84,9,6,R
2f6065fe0804d1d8,754968e325d6f60d,Xiao Long,86bace9e4ad85542,0,68,214,31,81,229,35,0,0,,0,20,53,169,31,7,21,33,8,24,33,38,173,22,30,41,73,0,0,,77,10,11,55,44,0,R
130e622d4d2aee3e,754968e325d6f60d,Michel Pereira,595db60957de51d3,0,2,4,50,2,4,50,0,0,,0,0,0,1,0,2,3,67,0,0,,2,4,50,0,0,,0,0,,0,100,0,100,0,0,R
f0b7caa90faf47e5,754968e325d6f60d,Yizha,3f11fd1751fa83b1,2,13,18,72,17,23,74,0,0,,0,6,10,15,67,0,0,,3,3,100,9,12,75,2,3,67,2,3,67,76,0,23,69,15,15,R
